no.,URL,METHOD,status
70,https://www.kmutnb.ac.th/life-in-the-university/prachinburi.aspx,GET,200
71,https://www.kmutnb.ac.th/life-in-the-university/prachinburi.aspx?lang=en-gb%2/Campus-Life.aspx?lang=en-gb%20,GET,200
72,https://www.kmutnb.ac.th/life-in-the-university/prachinburi.aspx?lang=th ,GET,200
73,https://www.kmutnb.ac.th/life-in-the-university/rayong.aspx,GET,200
74,https://www.kmutnb.ac.th/life-in-the-university/rayong.aspx?lang=en-gb%2/Campus-Life.aspx?lang=en-gb%20,GET,200
75,https://www.kmutnb.ac.th/life-in-the-university/rayong.aspx?lang=th ,GET,200
76,https://www.kmutnb.ac.th/life-in-the-university/rayong.aspx?lang=en-gb ,GET,301
77,https://www.kmutnb.ac.th/life-in-the-university/prachinburi.aspx?lang=en-gb ,GET,301
78,https://www.kmutnb.ac.th/life-in-the-university/bangkok.aspx?lang=en-gb ,GET,301
79,https://www.kmutnb.ac.th/contact-us.aspx?lang=en-gb ,GET,301
80,https://www.kmutnb.ac.th/research-and-academic/journals.aspx?lang=en-gb ,GET,301
81,https://www.kmutnb.ac.th/research-and-academic/outstanding-research.aspx?lang=en-gb ,GET,301
82,https://www.kmutnb.ac.th/faculty-and-agencies/rayong-campus.aspx?lang=en-gb ,GET,301
83,https://www.kmutnb.ac.th/faculty-and-agencies/prachin-campus.aspx?lang=en-gb ,GET,301
84,https://www.kmutnb.ac.th/faculty-and-agencies/bangkok.aspx?lang=en-gb ,GET,301
85,https://www.kmutnb.ac.th/about/board_council/board_council.aspx?lang=en-gb ,GET,301
86,https://www.kmutnb.ac.th/about/organization/administrative-organization-chart.aspx?lang=en-gb ,GET,301
87,https://www.kmutnb.ac.th/about/philosophy.aspx?lang=en-gb ,GET,301
88,https://www.kmutnb.ac.th/about/history.aspx?lang=en-gb ,GET,301
